Directory,Filename,Width,Height
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01805_T.png,01805_T.png,238,597
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01819_B.png,01819_B.png,258,561
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01793_T.png,01793_T.png,243,594
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01794_B.png,01794_B.png,241,786
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01794_T.png,01794_T.png,238,806
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01792_T.png,01792_T.png,264,554
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01795_B.png,01795_B.png,238,527
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01793_B.png,01793_B.png,243,593
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01795_T.png,01795_T.png,239,530
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01796_T.png,01796_T.png,258,536
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01796_B.png,01796_B.png,258,532
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01797_T.png,01797_T.png,240,584
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01800_B.png,01800_B.png,238,591
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01798_T.png,01798_T.png,251,627
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01798_B.png,01798_B.png,247,626
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01797_B.png,01797_B.png,241,580
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01800_T.png,01800_T.png,237,606
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01801_B.png,01801_B.png,230,535
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01799_T.png,01799_T.png,244,536
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01801_T.png,01801_T.png,230,538
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01802_T.png,01802_T.png,254,516
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01802_B.png,01802_B.png,250,510
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01803_B.png,01803_B.png,255,565
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01803_T.png,01803_T.png,256,570
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01804_B.png,01804_B.png,281,932
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01806_B.png,01806_B.png,229,493
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01805_B.png,01805_B.png,239,613
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01804_T.png,01804_T.png,211,517
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01806_T.png,01806_T.png,233,501
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01807_B.png,01807_B.png,252,553
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01807_T.png,01807_T.png,255,561
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01808_B.png,01808_B.png,210,540
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01808_T.png,01808_T.png,210,542
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01809_B.png,01809_B.png,230,493
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01810_B.png,01810_B.png,236,577
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01809_T.png,01809_T.png,233,502
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01811_T.png,01811_T.png,220,572
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01811_B.png,01811_B.png,223,571
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01810_T.png,01810_T.png,240,580
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01812_T.png,01812_T.png,231,528
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01814_B.png,01814_B.png,247,516
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01813_B.png,01813_B.png,242,572
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01812_B.png,01812_B.png,231,530
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01814_T.png,01814_T.png,251,525
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01813_T.png,01813_T.png,243,581
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01815_B.png,01815_B.png,257,564
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01815_T.png,01815_T.png,257,572
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01816_B.png,01816_B.png,241,512
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01816_T.png,01816_T.png,238,515
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01817_B.png,01817_B.png,246,545
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01817_T.png,01817_T.png,248,561
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01818_T.png,01818_T.png,229,540
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01818_B.png,01818_B.png,241,535
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01820_B.png,01820_B.png,231,462
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01819_T.png,01819_T.png,261,574
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01821_B.png,01821_B.png,254,560
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01820_T.png,01820_T.png,244,492
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01821_T.png,01821_T.png,255,561
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01822_B.png,01822_B.png,264,544
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01822_T.png,01822_T.png,264,549
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01823_T.png,01823_T.png,209,508
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01823_B.png,01823_B.png,209,509
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01824_B.png,01824_B.png,230,523
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01825_B.png,01825_B.png,254,500
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01824_T.png,01824_T.png,231,527
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01826_B.png,01826_B.png,226,489
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01826_T.png,01826_T.png,226,495
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01827_B.png,01827_B.png,252,616
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01827_T.png,01827_T.png,246,630
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01829_B.png,01829_B.png,256,545
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01828_B.png,01828_B.png,248,584
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01828_T.png,01828_T.png,250,573
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01830_B.png,01830_B.png,262,543
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01829_T.png,01829_T.png,258,552
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01830_T.png,01830_T.png,253,553
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01832_B.png,01832_B.png,247,610
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01831_B.png,01831_B.png,219,562
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01831_T.png,01831_T.png,223,557
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01834_B.png,01834_B.png,269,634
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01832_T.png,01832_T.png,248,616
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01833_B.png,01833_B.png,255,734
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01833_T.png,01833_T.png,253,764
